run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
47,3.3831288735376255,1904.4603641685098,2310.129806600511,5638.930811708793,2.440958423893419,-76.04548236168921,2.982446562721849,3.387607409216889,0.0,3.5597199349115556,2.8025629079584893,46.81583667418251,36.22053285459636,108.4962843262046,79.93134623438637
48,4.66648537342163,1947.100640218705,2273.5575006287545,5763.353320552036,2.534949443309956,-227.14266277849674,2.998180404873133,3.1485025661101114,0.14058184347850133,3.6228187962553235,2.9335530900862947,42.78140530877054,37.19346086578244,105.89524521038248,79.56915059817358
49,4.750332730919608,1897.414440408349,2152.3856712952256,5505.094586331397,2.557671080861004,-280.5644542109221,2.996783725067341,3.21632348567048,0.027710463956877263,4.016886379613018,3.8801399339827647,48.1781665247436,38.28187940154257,111.12699285927228,80.54986935480174
50,3.452230806828239,2108.178077539429,2287.1388109624386,5514.362173853442,2.411030824811623,-265.2856325302273,2.981558258707624,1.6597192382392016,0.21258188467196026,2.1415711424924413,1.8466820933305437,47.83359685149055,37.96379663887421,110.86818416677255,80.67205766882132
51,3.6958536257629864,1885.1807834152132,2235.420470893383,5557.321643123403,2.4860296823274712,-149.00769599154592,2.987066445444436,3.169519470072593,0.019403891587626454,3.6595616402093554,3.54686326496134,45.26120143611518,38.91724021149518,108.60246391324033,81.13033580513225
52,4.112464926597543,1979.3035532031208,2238.8654276691377,5611.042055191472,2.5061988924600422,-253.35836200229824,2.9799226067376363,2.8588789663311918,0.0,3.4000384502865226,2.8223951641417555,46.46220733262879,37.53090934412059,109.64493538249171,79.79907566692673
53,3.7233199364486875,1728.568334262818,2190.5965445935726,5492.623687390238,2.5073643528499674,-277.8485659323633,2.9953874346532974,4.0522904935502195,0.010543974245117216,4.476499287937865,4.126349369077952,47.972251105099325,38.47667952241959,110.7960596448097,80.84910999349935
54,4.203658177829322,1999.82266549021,2266.60428298451,5701.329366849735,2.5153615960447286,-345.566518176347,2.997522098096699,2.7439932958161215,0.0,3.226992341195462,2.659808544823964,45.57563952451214,36.68603906249946,108.08603654364119,79.20809413878955
55,3.981229542221405,1897.5541249420494,2126.844321820885,5384.056826151907,2.531476691036032,-249.43979720585048,2.9945857702742447,3.1762360336275806,0.0,4.022186990758976,4.138724010656739,49.193851704445215,39.76903331121359,112.11532119036032,81.66726982393176
56,4.4487156258951375,1924.4051070064306,2207.00169862248,5635.902127275243,2.5536464837308204,-165.43149909377098,2.986917807502194,3.018215764195367,0.0,3.657916969416994,3.474173708755845,44.412185435224345,38.20048054625047,105.85560507300038,81.11705036649231
57,3.271435318586169,2055.687201170251,2245.9334815256298,5436.899462047964,2.4207749280066646,-294.6817235946655,2.9482039905601565,2.1434431353360197,0.05562306004029782,2.6844754645532736,2.270645279541212,47.07594315519075,39.84130404426295,110.41048870844794,81.93909716233901
58,3.4920811797852958,1742.7674858048558,2353.173447921872,5562.571385983378,2.363859489786348,-209.54519268125296,2.9836124358621534,5.450653639933566,0.10091205246610535,5.586241834970834,2.3133586950063973,46.156190718874456,37.76848620619302,108.71047053576163,81.03516111457404
59,3.8044852172594963,1997.3164558000863,2254.0411159526557,5579.14042083174,2.4751724275773705,-128.75818183645606,2.952030996289639,2.7899885782410543,0.0991457204345485,3.2539689617623995,2.663576730244824,45.76906883251798,38.34538514339329,108.78671958670446,80.65347282781443
60,4.746102214285625,1876.9236282985657,2259.553635120392,5787.378577983007,2.5612928536102877,-95.70617467351258,2.9893570487976344,3.3497077082882436,0.0,3.736762067329326,3.2506245041879342,43.32059012610245,36.71304723953431,106.20781966455692,78.9915645666031
61,4.0329668904594715,1964.449378984049,2236.3907527960837,5646.045712953433,2.524623975436481,-346.8371019233018,2.9848811513454727,2.696808793041626,0.0,3.254872885434094,3.269696562758648,44.315126700687856,38.12862792826067,107.26026440901369,80.46583447926488
62,3.9067384286632785,1902.0813686177135,2232.857366167009,5599.216022884473,2.5076460806344554,-94.00246229022741,2.9596708026960896,3.4984119161351814,0.0,4.015140395062341,3.2476842456393062,46.40064717722965,37.41333848005077,108.74913087335737,80.38011262784785
63,3.6389114391309207,2174.111690791324,2373.40210663341,5731.185791412368,2.414755500298203,-132.91484931483865,2.981860152372716,1.7969824783394635,0.1673664714928682,2.0252935370247283,1.5139035450352136,44.63424303344386,35.82708269056833,105.81565607611562,80.01593684583534
